Candidate ID,EFL [mm],TTL [mm],Minimum CT [mm],Minimum ET [mm],Minimum center gap [mm],Minimum edge gap [mm],Ray trace status,Ray trace reason,Selected lenses,SEQ file,Layout file
C00075,12.0051162236197,13.3132793903741,1,0.923636302214316,0.100001,9.99999999806711e-07,PASS,OK,L3 L4 L5 L6 L7,C00075.seq,C00075_layout.png
C00068,12.0051156904076,13.4165710624006,1,0.923421296775185,0.100001,1.00000000002876e-06,PASS,OK,L3 L4 L5 L6 L7,C00068.seq,C00068_layout.png
C00106,12.0051159643311,13.4651212537105,1,0.923611219410863,0.100001,1.00000000063938e-06,PASS,OK,L3 L4 L5 L6 L7,C00106.seq,C00106_layout.png
C00099,12.0051161543886,13.3977233209227,1,0.923744159628512,0.100001,9.99999999473644e-07,PASS,OK,L3 L4 L5 L6 L7,C00099.seq,C00099_layout.png
C00082,12.0051158192679,13.3695979511187,1,0.923421296775185,0.100001,9.99999999362622e-07,PASS,OK,L3 L4 L5 L6 L7,C00082.seq,C00082_layout.png
C00078,12.0051159953642,13.4772015644157,1,0.924086226882872,0.100001,9.99999999584666e-07,PASS,OK,L3 L4 L5 L6 L7,C00078.seq,C00078_layout.png
C00077,12.0051159540617,13.4638853043562,1,0.923636302214316,0.100001,9.99999999140577e-07,PASS,OK,L3 L4 L5 L6 L7,C00077.seq,C00077_layout.png
C00117,12.0051165014874,13.4217649107221,1,0.924389159603809,0.100001,1.00000000036182e-06,PASS,OK,L3 L4 L5 L6 L7,C00117.seq,C00117_layout.png
C00098,12.0051158946802,13.4040150591752,1,0.923714508824779,0.100001,1.00000000047284e-06,PASS,OK,L3 L4 L5 L6 L7,C00098.seq,C00098_layout.png
C00090,12.005115434951,13.4978170176526,1,0.923507636715365,0.100001,9.99999999640178e-07,PASS,OK,L3 L4 L5 L6 L7,C00090.seq,C00090_layout.png
C00101,12.0051160542248,13.4479427315511,1,0.923744159628512,0.100001,9.99999999973245e-07,PASS,OK,L3 L4 L5 L6 L7,C00101.seq,C00101_layout.png
C00109,12.0051159351451,13.4846848777402,1,0.92402239213784,0.100001,1.0000000002508e-06,PASS,OK,L3 L4 L5 L6 L7,C00109.seq,C00109_layout.png
C00113,12.0051159487937,13.3098936472145,1,0.923421296775185,0.100001,9.99999999695689e-07,PASS,OK,L3 L4 L5 L6 L7,C00113.seq,C00113_layout.png
C00069,12.0051156249668,13.4499157118841,1,0.923421296775185,0.100001,9.99999999418133e-07,PASS,OK,L3 L4 L5 L6 L7,C00069.seq,C00069_layout.png
C00103,12.0051158990183,13.4408902343924,1,0.92361843196816,0.100001,9.99999999085066e-07,PASS,OK,L3 L4 L5 L6 L7,C00103.seq,C00103_layout.png
C00096,12.0051158465224,13.4296807102546,1,0.923714508824779,0.100001,9.99999999418133e-07,PASS,OK,L3 L4 L5 L6 L7,C00096.seq,C00096_layout.png
C00079,12.0051159766897,13.486121173191,1,0.924086226882872,0.100001,1.00000000086142e-06,PASS,OK,L3 L4 L5 L6 L7,C00079.seq,C00079_layout.png
C00070,12.0051161687243,13.4238783247418,1,0.923744159628512,0.100001,1.00000000086142e-06,PASS,OK,L3 L4 L5 L6 L7,C00070.seq,C00070_layout.png
C00115,12.0051164466619,13.4489503984319,1,0.924389159603809,0.100001,9.99999999862222e-07,PASS,OK,L3 L4 L5 L6 L7,C00115.seq,C00115_layout.png
C00083,12.0051159042249,13.4515372724658,1,0.92361843196816,0.100001,9.999999997512e-07,PASS,OK,L3 L4 L5 L6 L7,C00083.seq,C00083_layout.png
